uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
1,4.0,44520.2,468.63368421052627,95.0,1151.6,1151.6,1151.6,1.0,1151.6,1151.6,4.0,287.9,4.0,504.05,498.6125,0.042105263157894736,0.025866909852156998,4.0,0.0,1.0,0.0,0.0,90.34906045951526,361.39624183806103,,,361.39624183806103,
3,2.0,42918.9,476.87666666666667,90.0,2053.4,2053.4,2053.4,1.0,2053.4,2053.4,4.0,513.35,4.0,762.9,744.3249999999999,0.044444444444444446,0.04784372386058357,4.0,0.0,1.0,0.0,0.0,55.729776022330086,222.91910408932034,,,222.91910408932034,
4,3.0,75692.8,453.2502994011976,167.0,11271.7,11271.7,1878.6166666666668,6.0,11271.7,11271.7,22.0,512.35,22.0,2051.25,1552.3704545454545,0.1317365269461078,0.14891376722753022,3.6666666666666665,3.0,6.0,0.5,0.26615328654950005,91.50867857429296,1738.6648929115663,143.0236035460753,429.0708106382259,347.73297858231325,612.8000000000001
6,2.0,52353.5,409.01171875,128.0,1002.0,1002.0,1002.0,1.0,1002.0,1002.0,4.0,250.5,4.0,1185.25,1180.3875,0.03125,0.01913912154870257,4.0,0.0,1.0,0.0,0.0,110.12864024925182,440.51456099700727,,,440.51456099700727,
7,1.0,1301.9,260.38,5.0,116.9,116.9,116.9,1.0,116.9,116.9,1.0,116.9,1.0,289.4,289.4,0.2,0.08979184269145095,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,
9,1.0,16380.4,481.77647058823527,34.0,450.9,450.9,450.9,1.0,450.9,450.9,1.0,450.9,1.0,360.05,360.05,0.029411764705882353,0.02752680032233645,1.0,1.0,1.0,1.0,2.2177866489243736,,,22.302578326283307,22.302578326283307,,450.9
10,8.0,192332.1,414.50883620689655,464.0,5542.2,3499.866666666667,2099.92,5.0,10499.6,3499.866666666667,7.333333333333333,477.25454545454545,22.0,1975.8,1065.6000000000001,0.04741379310344827,0.05459099131138276,4.4,1.0,1.6666666666666667,0.2,0.09524172349422834,90.4146222660216,1898.7070675864536,424.0712970716127,424.0712970716127,379.74141351729065,568.0
15,4.0,58904.3,486.8123966942149,121.0,3974.6,3139.05,2092.7000000000003,3.0,6278.1,3139.05,7.0,448.4357142857143,14.0,569.75,448.23214285714283,0.11570247933884298,0.10658135314399798,4.666666666666667,0.0,1.5,0.0,0.0,94.82405536022455,1327.5367750431437,,,442.5122583477146,
16,5.0,82490.8,589.22,140.0,8531.0,8531.0,8531.0,1.0,8531.0,8531.0,4.0,2132.75,4.0,124.85,112.125,0.02857142857142857,0.10341759323463949,4.0,1.0,1.0,1.0,0.11721955222131052,39.19677384628608,117.59032153885823,16.876018487783185,16.876018487783185,117.59032153885823,1168.2
17,6.0,101020.6,410.6528455284553,246.0,3889.8,3889.8,1944.9,2.0,3889.8,3889.8,8.0,486.225,8.0,424.65,402.125,0.032520325203252036,0.03850501778845107,4.0,0.0,2.0,0.0,0.0,101.89396086682379,815.1516869345903,,,407.57584346729516,
18,2.0,178580.8,431.35458937198064,414.0,4874.2,4874.2,1218.55,4.0,4874.2,4874.2,17.0,286.7176470588235,17.0,1443.35,896.7352941176471,0.04106280193236715,0.02729408760628242,4.25,3.0,4.0,0.75,0.6154856181527225,82.33438310778992,1152.6813635090589,118.29979067508653,354.8993720252596,288.1703408772647,255.96666666666667
22,3.0,81635.0,381.47196261682245,214.0,2220.0,2220.0,2220.0,1.0,2220.0,2220.0,5.0,444.0,5.0,543.6,536.9,0.02336448598130841,0.02719421816622772,5.0,0.0,1.0,0.0,0.0,85.57130783760233,427.85653918801165,,,427.85653918801165,
26,6.0,94755.0,343.3152173913044,276.0,1588.0,1125.3,1125.3,3.0,3375.9,1125.3,5.0,225.06,15.0,1072.75,1011.6833333333333,0.05434782608695652,0.035627671362988764,5.0,0.0,1.0,0.0,0.0,81.20918604184912,1218.1377906277369,,,406.04593020924557,
29,4.0,55730.5,339.8201219512195,164.0,2304.1,2304.1,2304.1,1.0,2304.1,2304.1,4.0,576.025,4.0,1035.5,1027.8,0.024390243902439025,0.04134360897533666,4.0,0.0,1.0,0.0,0.0,101.1171444236092,404.4685776944368,,,404.4685776944368,
30,2.0,97285.0,405.3541666666667,240.0,8750.1,8750.1,2916.6999999999994,3.0,8750.1,8750.1,23.0,380.4391304347826,23.0,438.8,407.8086956521739,0.09583333333333334,0.08994295112298915,7.666666666666667,3.0,3.0,1.0,0.34285322453457673,71.02674863171839,1420.5349726343677,120.84919226061236,362.54757678183705,473.5116575447892,434.0
33,8.0,79384.5,411.31865284974094,193.0,2610.5,1416.05,2832.1,1.0,2832.1,1416.05,2.5,566.42,5.0,26.95,22.72,0.025906735751295335,0.03567573014883258,5.0,0.0,1.0,0.0,0.0,53.88496751497841,269.4248375748921,,,269.4248375748921,
34,3.0,77759.6,429.61104972375693,181.0,1602.4,1602.4,1602.4,1.0,1602.4,1602.4,4.0,400.6,4.0,483.25,475.2625,0.022099447513812154,0.0206071018883842,4.0,0.0,1.0,0.0,0.0,102.84240901677289,411.36963606709156,,,411.36963606709156,
