uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS
1,8.0,652154.7,507.11874027993775,1286.0,40614.5,15519.25,2516.635135135135,37.0,93115.5,15519.25,29.5,526.0762711864406,177.0,3816.1,1329.7293785310735,0.13763608087091758,0.1427813063372847,4.783783783783784,6.0,6.166666666666667,0.16216216216216217,0.06443610354881842,81.07808768425213,13864.352994007113,89.69202210346488,538.1521326207893,374.7122430812733,559.2333333333333
3,4.0,246080.0,431.719298245614,570.0,6493.0,5583.0,1595.142857142857,7.0,11166.0,5583.0,15.5,360.19354838709677,31.0,2509.05,1287.241935483871,0.054385964912280704,0.045375487646293886,4.428571428571429,4.0,3.5,0.5714285714285714,0.35823034210997673,82.94012189878084,2239.3832912670828,135.8216758182769,543.2867032731076,319.9118987524404,322.56666666666666
4,5.0,627498.0,550.4368421052632,1140.0,94605.1,28696.120000000003,3119.14347826087,46.0,143480.6,28696.120000000003,43.8,655.1625570776256,219.0,2164.15,1135.3260273972603,0.19210526315789472,0.2286550714105862,4.760869565217392,20.0,9.2,0.43478260869565216,0.13939166688737015,86.62464716474756,17238.304785784763,177.71262562654397,3554.2525125308794,374.74575621271225,600.9933333333333
5,3.0,31907.6,437.0904109589041,73.0,4370.5,4370.5,2185.25,2.0,4370.5,4370.5,9.0,485.6111111111111,9.0,2524.45,1804.7833333333333,0.1232876712328767,0.1369736363750329,4.5,0.0,2.0,0.0,0.0,72.38863821044593,651.4977438940134,,,325.7488719470067,
6,6.0,532473.8,509.54430622009573,1045.0,23604.1,9006.800000000001,2251.7000000000003,24.0,54040.8,9006.800000000001,20.5,439.3560975609756,123.0,3826.35,1258.3577235772357,0.11770334928229666,0.10149006392427196,5.125,9.0,4.0,0.375,0.16654083581294132,92.01944427713941,10490.216647593894,158.93471990096353,1430.4124791086717,437.0923603164122,562.7142857142857
7,2.0,150913.7,361.03755980861246,418.0,1318.6999999999998,1318.6999999999998,1318.6999999999998,1.0,1318.6999999999998,1318.6999999999998,4.0,329.67499999999995,4.0,918.8,911.875,0.009569377990430622,0.008738106613249823,4.0,0.0,1.0,0.0,0.0,97.04804418007237,388.19217672028947,,,388.19217672028947,
8,10.0,485263.6,469.76147144240076,1033.0,44101.8,37648.166666666664,2823.6125,40.0,112944.5,37648.166666666664,70.66666666666667,532.7570754716982,212.0,3551.65,1428.0426886792452,0.20522749273959343,0.23274875758247685,5.3,14.0,13.333333333333334,0.35,0.12395468570846742,82.86182169108456,16406.640694834743,184.1023020388465,2577.4322285438507,410.1660173708686,506.25
9,2.0,105666.8,503.1752380952381,210.0,7745.7,7745.7,2581.9,3.0,7745.7,7745.7,13.0,595.8230769230769,13.0,875.85,749.125641025641,0.06190476190476191,0.07330306207815511,4.333333333333333,0.0,3.0,0.0,0.0,56.8642194463094,739.2348528020221,,,246.41161760067405,
10,12.0,720663.7,422.428898007034,1706.0,35222.2,12740.366666666667,1976.9534482758622,58.0,114663.3,12740.366666666667,30.444444444444443,418.47919708029195,274.0,3457.25,1086.3795620437957,0.16060961313012895,0.15910791677172031,4.724137931034483,14.0,6.444444444444445,0.2413793103448276,0.12209660806901598,84.1578300476296,21881.035812383696,196.50950424405826,2751.1330594168157,377.2592381445465,511.4714285714286
11,7.0,906357.2,389.16152855302704,2329.0,67975.2,33896.38333333333,1936.9361904761904,105.0,203378.3,33896.38333333333,84.33333333333333,401.93339920948614,506.0,2488.65,1461.8683794466403,0.21726062687848863,0.22439089136159562,4.819047619047619,26.0,17.5,0.24761904761904763,0.12784058082892816,83.31948676235973,39993.35364593267,129.85601998235205,3376.2565195411535,380.88908234221594,497.652380952381
13,6.0,428550.4,561.6650065530799,763.0,13287.5,8178.32,2405.3882352941177,17.0,40891.6,8178.32,14.8,552.5891891891891,74.0,1685.75,1102.2554054054053,0.09698558322411534,0.09541841519690565,4.352941176470588,1.0,3.4,0.058823529411764705,0.024454900272916687,92.81650891383211,6775.605150709744,5.0447993022518745,5.0447993022518745,398.565008865279,250.5
15,3.0,1019779.6,651.616357827476,1565.0,72562.6,50000.56666666667,3000.034,50.0,150001.7,50000.56666666667,75.66666666666667,660.8004405286345,227.0,3434.55,1495.329515418502,0.1450479233226837,0.14709227366383876,4.54,6.0,16.666666666666668,0.12,0.03999954667180438,90.65421761957236,20034.58209392549,79.19988783353325,475.1993270011995,400.6916418785098,509.15000000000003
16,7.0,432992.1,557.2613899613899,777.0,23705.5,8166.32,2551.975,16.0,40831.6,8166.32,15.2,537.2578947368421,76.0,1583.4,745.9578947368421,0.0978120978120978,0.09430102766309131,4.75,4.0,3.2,0.25,0.09796334211737968,79.57790667204969,5729.609280387578,199.52247379708655,798.0898951883462,358.10058002422363,584.35
17,8.0,389194.6,433.40155902004454,898.0,10366.3,5753.650000000001,1917.8833333333334,18.0,34521.9,5753.650000000001,14.833333333333334,387.8865168539326,89.0,1947.65,930.3191011235955,0.09910913140311804,0.08870087097816877,4.944444444444445,3.0,3.0,0.16666666666666666,0.08690135826822973,93.97569483472438,8081.909755786296,144.07088379507385,432.21265138522153,448.994986432572,684.35
18,7.0,748750.5,384.76387461459404,1946.0,39012.8,16451.15,1827.9055555555558,36.0,65804.6,16451.15,43.0,382.5848837209303,172.0,2532.7,1192.6296511627907,0.08838643371017471,0.08788588455032752,4.777777777777778,14.0,9.0,0.3888888888888889,0.21275108427070447,98.80557631464053,15611.281057713204,224.33342824677098,3140.6679954547935,433.646696047589,455.3
19,9.0,575758.1,615.1261752136752,936.0,21583.9,9467.133333333333,2840.14,20.0,56802.8,9467.133333333333,17.166666666666668,551.4834951456311,103.0,13122.25,2135.618932038835,0.11004273504273504,0.0986574049066787,5.15,5.0,3.3333333333333335,0.25,0.08802382981120649,85.22169542885084,8351.726152027382,91.47952044535722,457.39760222678615,417.5863076013691,622.0
21,4.0,462815.7,616.2659121171771,751.0,72115.6,30156.325,3655.3121212121214,33.0,120625.3,30156.325,41.75,722.3071856287426,167.0,3579.0,1417.025748502994,0.22237017310252996,0.2606335524054175,5.0606060606060606,7.0,8.25,0.21212121212121213,0.05803094375723832,85.3031030970599,13648.496495529585,173.4443725594336,1214.1106079160352,413.5908028948359,372.81666666666666
22,7.0,645599.2,429.2547872340425,1504.0,76686.7,25068.324999999997,2331.9372093023258,43.0,100273.3,25068.324999999997,54.5,459.96926605504586,218.0,1621.6,870.3493119266054,0.1449468085106383,0.15531819122452445,5.069767441860465,22.0,10.75,0.5116279069767442,0.2194003787648357,81.93314067380763,16058.895572066296,113.46511534437424,2496.2325375762334,373.462687722472,426.13684210526316
23,3.0,91021.3,435.5086124401914,209.0,24422.4,24422.4,2220.218181818182,11.0,24422.4,24422.4,51.0,478.8705882352941,51.0,2195.85,1524.7911764705884,0.24401913875598086,0.26831521852577367,4.636363636363637,1.0,11.0,0.09090909090909091,0.040946016771488465,92.903956133682,4645.1978066841,97.8622756735199,97.8622756735199,422.29070969855456,233.8
24,5.0,295998.1,424.0660458452722,698.0,15068.0,9729.733333333334,1945.9466666666667,15.0,29189.2,9729.733333333334,21.333333333333332,456.08125,64.0,2603.65,1238.540625,0.09169054441260745,0.0986127951496986,4.266666666666667,2.0,5.0,0.13333333333333333,0.06851849314129883,79.62890433773947,4936.992068939847,11.93400658496236,23.86801316992472,329.1328045959898,384.2
25,5.0,180146.3,373.74751037344396,482.0,4327.6,4006.1000000000004,2670.7333333333336,3.0,8012.2,4006.1000000000004,9.0,445.1222222222222,18.0,1968.9,1195.225,0.03734439834024896,0.044476073058397535,6.0,2.0,1.5,0.6666666666666666,0.24961933052095558,77.77518137643959,1244.4029020230334,58.628500919918295,117.25700183983659,414.8009673410111,859.95
26,10.0,486980.9,368.0883597883598,1323.0,15486.1,8846.0125,1444.2469387755102,49.0,70768.1,8846.0125,29.0,305.0349137931035,232.0,2655.85,961.0372844827587,0.17535903250188964,0.14532007312812475,4.73469387755102,10.0,6.125,0.20408163265306123,0.14130660565989478,88.15064252492824,19569.44264053407,147.41699897285565,1474.1699897285566,399.3763804190627,405.71
27,8.0,110757.0,365.53465346534654,303.0,1079.5,997.7,997.7,2.0,1995.4,997.7,4.0,249.425,8.0,1046.05,790.38125,0.026402640264026403,0.018016017046326643,4.0,0.0,1.0,0.0,0.0,74.12348523169393,592.9878818535515,,,296.49394092677574,
28,3.0,99837.0,470.9292452830189,212.0,10966.5,8246.55,2748.85,6.0,16493.1,8246.55,14.0,589.0392857142857,28.0,1111.1,674.7446428571428,0.1320754716981132,0.1652002764506145,4.666666666666667,2.0,3.0,0.3333333333333333,0.12126283112331825,79.70380104983074,2072.2988272955995,87.42278439816992,174.84556879633985,345.3831378825999,400.6
29,9.0,508427.5,378.5759493670886,1343.0,27643.4,9711.511111111111,1859.6510638297873,47.0,87403.6,9711.511111111111,24.88888888888889,390.19464285714287,224.0,2486.0,1053.4591517857143,0.16679076693968728,0.17190966263626575,4.76595744680851,16.0,5.222222222222222,0.3404255319148936,0.18305882137577856,74.43422687259178,15482.31918949909,144.57383287251773,2313.1813259602836,329.4110465850871,422.87333333333333
