uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
1,8.0,541770.9,505.383302238806,1072.0,93247.1,34622.45,2495.3117117117117,111.0,276979.6,34622.45,65.0,532.6530769230769,520.0,4295.75,1485.4017307692309,0.48507462686567165,0.511248573889812,4.684684684684685,25.0,13.875,0.22522522522522523,0.09025935484057311,137.43426048770777,68029.95894141535,251.75615871088692,6293.903967772173,612.8825129857238,449.8388888888889,1.4094488188976377,443.0,7.297297297297297,810.0,2.9244030968345687,3.8,833.0,921.0,0.9044516829533116,3.007441703287896,3.325154632326713
3,4.0,179615.2,467.7479166666667,384.0,53445.799999999996,26601.099999999995,3627.4227272727276,22.0,79803.3,26601.099999999995,58.0,458.6396551724138,174.0,2509.05,1073.9574712643678,0.453125,0.4443014845068791,7.909090909090909,48.0,7.333333333333333,2.1818181818181817,0.6014788862114724,122.30572289267712,15410.521084477317,183.1019897710412,8788.895509009977,700.4782311126054,562.53,1.95,52.0,4.954545454545454,109.0,1.3658583041052186,2.1458333333333335,92.0,131.0,0.7022900763358778,1.1528345319053221,1.6415361269521436
4,5.0,592807.9,561.3711174242425,1056.0,204268.3,66082.92,2394.308695652174,138.0,330414.6,66082.92,107.4,615.2972067039105,537.0,2579.35,1160.1568901303538,0.5085227272727273,0.5573721267884587,3.891304347826087,38.0,27.6,0.2753623188405797,0.11500702450799692,98.88189365745745,49342.06493507127,200.40881720736766,7615.535053879971,357.5511951816759,457.7096774193548,1.6730769230769231,407.0,5.884057971014493,812.0,2.4575185236971975,3.710526315789474,728.0,950.0,0.7663157894736842,2.2032924695216254,2.8751756126999233
5,3.0,23976.1,479.522,50.0,7659.0,4413.8,1765.52,5.0,8827.6,4413.8,8.5,519.2705882352941,17.0,2526.3,1595.894117647059,0.34,0.3681833158854026,3.4,0.0,2.5,0.0,0.0,89.44007364889552,1520.481252031224,,,304.0962504062448,,1.0,16.0,5.8,29.0,3.2851511169513796,,34.0,34.0,1.0,3.8515564819429966,3.8515564819429966
6,6.0,403277.6,507.2674213836478,795.0,86930.0,35396.63333333333,1862.9807017543858,114.0,212379.8,35396.63333333333,70.16666666666667,504.4650831353919,421.0,3826.35,1355.4657957244656,0.529559748427673,0.5266342588827151,3.692982456140351,21.0,19.0,0.18421052631578946,0.09887946028765449,118.57814610863709,47431.25844345483,134.98338213691412,2834.6510248751965,416.06367055662133,607.864705882353,1.6483516483516483,354.0,6.192982456140351,706.0,3.324233283956384,3.4761904761904763,665.0,820.0,0.8109756097560976,3.1311829091090586,3.8610074969465082
7,2.0,28997.8,273.5641509433962,106.0,6095.1,6095.1,609.51,10.0,6095.1,6095.1,26.0,234.4269230769231,26.0,918.8,850.9076923076923,0.24528301886792453,0.21019180765437379,2.6,2.0,10.0,0.2,0.32813243425046346,91.83520857255446,2204.0450057413072,194.79168701171875,389.5833740234375,220.40450057413068,167.0,2.75,18.0,3.9,39.0,6.3985824678840375,4.0,32.0,49.0,0.6530612244897959,5.250118948007415,8.039244639136355
8,7.0,413026.0,480.2627906976744,860.0,104144.8,54982.100000000006,2290.920833333333,96.0,219928.4,54982.100000000006,106.5,516.2638497652582,426.0,4011.0,1541.3542253521127,0.49534883720930234,0.5324807639228523,4.4375,20.0,24.0,0.20833333333333334,0.0909386873182363,95.10148246622781,38611.20188128849,257.16705115270156,5143.341023054031,402.2000195967551,591.9,1.5,331.0,6.677083333333333,641.0,2.9145849285494734,5.4,622.0,737.0,0.8439620081411127,2.828193175597149,3.351090627677008
9,1.0,93568.1,516.9508287292819,181.0,35997.4,35997.4,1565.104347826087,23.0,35997.4,35997.4,66.0,545.4151515151516,66.0,1204.9,757.559595959596,0.36464088397790057,0.3847187235820755,2.869565217391304,0.0,23.0,0.0,0.0,74.14547970048785,4893.601660232199,,,212.765289575313,,1.35,56.0,4.3478260869565215,100.0,2.777978409551801,,108.0,123.0,0.8780487804878049,3.000216682315945,3.416913443748715
10,12.0,665466.4,429.610329244674,1549.0,111993.2,28805.67272727273,1650.325,192.0,316862.4,28805.67272727273,66.54545454545455,432.87213114754104,732.0,4310.5,1189.1552595628416,0.4725629438347321,0.4761508620119664,3.8125,35.0,17.454545454545453,0.18229166666666666,0.11045804109291603,105.13819898516233,73281.32469265815,198.64118279047068,6952.441397666474,381.6735661075945,494.79285714285714,1.7956204379562044,533.0,5.885416666666667,1130.0,3.566216755285575,3.942857142857143,968.0,1322.0,0.7322239031770046,3.054953822226935,4.1721580092810004
11,5.0,658287.2,389.9805687203791,1688.0,193859.6,75250.68000000001,1791.6828571428573,210.0,376253.4,75250.68000000001,187.4,401.55112059765213,937.0,2520.8500000000004,1315.4053361792958,0.5550947867298578,0.5715642048030101,4.461904761904762,85.0,42.0,0.40476190476190477,0.2259115798023353,104.43690556786585,88980.2435438217,174.98104168898553,14873.38854356377,423.71544544677005,404.4225806451613,2.8854166666666665,524.0,6.457142857142857,1356.0,3.6039541436701965,4.2,801.0,1566.0,0.5114942528735632,2.1288844167255365,4.162088634946554
