uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
1,28,720772.9,505.4508415147265,1426,93247.1,18824.394117647058,2424.353787878788,132,320014.7,18824.394117647058,35.411764705882355,531.5858803986711,602,4295.75,1406.4778239202658,0.4221598877980365,0.4439882520555365,4.5606060606060606,36,7.764705882352941,0.2727272727272727,0.11249483226864265,132.81561376107342,75173.63738876756,255.11141863047294,9184.011070697026,569.4972529452087,570.248,1.371069182389937,500,6.818181818181818,900,2.8123708067160664,3.388888888888889,934,1032,0.9050387596899225,2.9186159260808955,3.224851858367756
3,12,289949.3,469.93403565640193,617,53445.799999999996,10467.55,2754.6184210526317,38,104675.5,10467.55,22.7,461.12555066079295,227,2509.05,1035.4859030837004,0.3679092382495948,0.3610131150514935,5.973684210526316,53,3.8,1.394736842105263,0.5063266953585127,107.37313054634407,18682.92471506387,174.95228548180788,9272.471130535818,491.65591355431235,511.8933333333333,1.5,95,4.7631578947368425,181,1.7291534313186945,2.169811320754717,169,219,0.771689497716895,1.6145134248224273,2.0921801185568736
4,12,745716.4,536.486618705036,1390,204268.3,35848.87,2283.3675159235668,157,358488.7,35848.87,59.3,604.5340640809444,593,2579.35,1146.8631534569984,0.4266187050359712,0.48073061018907454,3.7770700636942673,43,15.7,0.27388535031847133,0.11994799278192032,96.69844522767798,53184.14487522289,197.18453634965684,8478.935063035244,338.7525151288082,457.66388888888895,1.608,454,5.662420382165605,889,2.479855013561097,3.604651162790698,815,1046,0.7791586998087954,2.2734328864480244,2.9178046616253175
5,8,313974.3,416.9645418326693,753,97671.9,23957.339999999997,1963.7163934426228,61,119786.7,23957.339999999997,52.2,458.95287356321836,261,2526.3,568.9233716475096,0.3466135458167331,0.3815175318489443,4.278688524590164,42,12.2,0.6885245901639344,0.3506232327962954,76.08199077360582,16661.955979419676,143.97270737505983,6046.853709752513,273.1468193347488,444.01071428571424,3.6551724137931036,68,4.295081967213115,262,2.1872211188721287,2.261904761904762,106,323,0.3281733746130031,0.8849062542001741,2.6964596236477005
6,9,440868.4,503.27442922374433,876,86930.0,24808.444444444445,1830.1311475409836,122,223276.0,24808.444444444445,49.888888888888886,497.2739420935412,449,3826.35,1319.1451002227172,0.5125570776255708,0.5064459144724367,3.680327868852459,23,13.555555555555555,0.1885245901639344,0.10301151937512316,116.35414061141677,49566.86390046354,132.54569646833394,3048.551018771681,406.2857696759307,577.2842105263157,1.65625,372,6.081967213114754,742,3.3232411902757124,3.391304347826087,697,864,0.8067129629629629,3.121696913237428,3.869650119135062
7,7,172374.7,361.37253668763105,477,11064.5,6347.275,846.3033333333333,30,25389.1,6347.275,21.5,295.2220930232558,86,990.5,755.9058139534884,0.18029350104821804,0.14729017657463653,2.8666666666666667,7,7.5,0.23333333333333334,0.2757088671910387,76.77707077228573,6065.388591010573,144.53386486986523,1011.7370540890566,202.17961970035242,322.75,1.9090909090909092,61,4.3,129,5.0809205525205705,3.0,98,159,0.6163522012578616,3.8599241406745417,6.2625299833393075
8,20,605183.7,439.8137354651162,1376,104144.8,25095.829999999998,2023.8572580645164,124,250958.3,25095.829999999998,50.9,493.04184675834966,509,4011.0,1390.2275049115915,0.3699127906976744,0.41468119514785345,4.104838709677419,23,12.4,0.18548387096774194,0.09164869223293273,92.45752443314099,44934.35687450652,234.69800894002088,5398.05420562048,362.37384576214936,564.661111111111,1.528301886792453,391,6.129032258064516,760,3.028391569436038,4.956521739130435,732,884,0.8280542986425339,2.916819248456816,3.5224975623440233
9,4,115708.6,543.2328638497653,213,35997.4,35997.4,1565.104347826087,23,35997.4,35997.4,66.0,545.4151515151516,66,1204.9,757.559595959596,0.30985915492957744,0.31110392831647776,2.869565217391304,0,23.0,0.0,0.0,74.14547970048785,4893.601660232199,,,212.765289575313,,1.35,56,4.3478260869565215,100,2.777978409551801,,108,123,0.8780487804878049,3.000216682315945,3.416913443748715
10,21,851406.9,430.00348484848485,1980,111993.2,19109.71052631579,1592.4758771929824,228,363084.5,19109.71052631579,44.1578947368421,432.7586412395709,839,4310.5,1181.533611442193,0.42373737373737375,0.4264523813466863,3.6798245614035086,39,12.0,0.17105263157894737,0.10741301267335841,103.48950036986702,82791.60029589362,198.20447968212812,7729.974707602997,363.12105392935797,520.05625,1.60989010989011,628,5.68859649122807,1297,3.5721712163422015,3.8974358974358974,1165,1525,0.7639344262295082,3.2086194811400652,4.200124213509527
11,14,732739.5,386.0587460484721,1898,193859.6,43067.68888888889,1761.8600000000001,220,387609.2,43067.68888888889,107.66666666666667,400.0094943240454,969,2520.8500000000004,1301.0015995872034,0.5105374077976818,0.528986358726396,4.404545454545454,90,24.444444444444443,0.4090909090909091,0.2321926311346583,104.36889549835509,91740.25914305412,175.81396507151334,15823.2568564362,417.00117792297334,399.13484848484853,2.6576576576576576,552,6.381818181818182,1404,3.6222050457006696,4.133333333333334,855,1624,0.5264778325123153,2.205829995779254,4.189787032918723
