uid,n_CP_visited,sum_fix_dur,mean_fix_dur,n_fixs,max_sum_reading_dur_per_content-page,mean_sum_reading_dur_per_content-page,mean_dur_per_RS,n_RS,sum_RF_dur,mean_RF_dur_per_CP,mean_n_RF_per_CP,mean_RF_dur,n_RF,max_y_of_RF,mean_y_of_RF,ratio_RF_per_fix,ratio_RF_dur_per_fix_dur,ratio_n_RF_per_n_RS,n_REG,mean_n_RS_per_CP,ratio_n_REG_per_n_RS,ratio_n_REG_per_sec,mean_len_RF_in_px,sum_len_RS_in_px,mean_len_REG_in_px,sum_len_REG_in_px,mean_len_RS_in_px,mean_dur_until_first_REG_per_RS,mean_rows_per_RS,session_count_unique_words,mean_len_RS_in_idx,sum_len_RS_in_idx,ratio_sum_len_RS_in_idx_per_reading_dur,mean_len_REG_in_idx,n_unique_words_read,n_words_read,ratio_n_unique_words_per_n_words,unique_words_per_sec,words_per_sec
1,4.0,43970.1,472.79677419354834,93.0,2186.7,2111.7,1055.85,4.0,4223.4,2111.7,5.5,383.94545454545454,11.0,1547.4,653.1772727272727,0.11827956989247312,0.09605163508838961,2.75,0.0,2.0,0.0,0.0,101.23369197874267,1113.5706117661693,,,278.39265294154234,,1.0,11.0,5.0,20.0,4.7355211441019085,,24.0,24.0,1.0,5.68262537292229,5.68262537292229
3,2.0,39012.7,506.6584415584415,77.0,10716.8,7628.349999999999,1907.0875,8.0,15256.7,7628.349999999999,14.5,526.0931034482759,29.0,2066.45,968.4982758620689,0.37662337662337664,0.3910700874330667,3.625,3.0,4.0,0.375,0.1966349210510792,83.07105345944152,2159.8473899454793,97.10001118977858,291.30003356933577,269.9809237431849,467.3,1.0833333333333333,25.0,4.75,38.0,2.4907089999803365,2.0,42.0,46.0,0.9130434782608695,2.7528888947151087,3.015068789449881
4,3.0,71151.1,465.0398692810458,153.0,13139.1,4908.233333333334,1338.609090909091,11.0,14724.7,4908.233333333334,11.0,446.20303030303035,33.0,2126.6,1297.1530303030304,0.21568627450980393,0.2069497168701538,3.0,2.0,3.6666666666666665,0.18181818181818182,0.13582619679857655,73.34297105633641,2273.6321027464287,253.69165802001953,507.38331604003906,206.69382752240261,467.20000000000005,1.1666666666666667,28.0,4.363636363636363,48.0,3.2598287231658367,4.0,54.0,59.0,0.9152542372881356,3.667307313561566,4.006872805558008
5,2.0,17587.5,358.92857142857144,49.0,1685.8,1685.8,842.9000000000001,2.0,1685.8,1685.8,5.0,337.15999999999997,5.0,1659.55,1056.8799999999999,0.10204081632653061,0.09585216773276474,2.5,0.0,2.0,0.0,0.0,43.40999755859375,217.04998779296875,,,108.52499389648438,,1.0,5.0,3.0,6.0,3.5591410606240363,,8.0,8.0,1.0,4.745521414165381,4.745521414165381
8,4.0,34532.3,421.1256097560976,82.0,3355.4,2203.65,1101.825,4.0,4407.3,2203.65,5.5,400.6636363636364,11.0,1567.5,1054.5863636363638,0.13414634146341464,0.12762833636913845,2.75,1.0,2.0,0.25,0.22689628570780296,77.80782941506293,778.0782941506293,91.0,91.0,194.51957353765732,434.1,1.0,11.0,4.5,18.0,4.084133142740453,3.0,22.0,22.0,1.0,4.9917182855716655,4.9917182855716655
10,7.0,163385.2,426.5932114882507,383.0,11116.7,5980.628571428571,1308.2625,32.0,41864.4,5980.628571428571,13.714285714285714,436.08750000000003,96.0,2037.6,1174.8182291666667,0.2506527415143603,0.25623128655471855,3.0,4.0,4.571428571428571,0.125,0.09554657417758286,97.58299264289867,8977.635323146678,194.38332748413086,777.5333099365234,280.55110384833364,696.9,1.05,85.0,4.78125,153.0,3.6546564622925444,3.5,179.0,185.0,0.9675675675675676,4.275709194446833,4.4190290557132075
11,5.0,25691.3,347.17972972972973,74.0,3020.5,1997.35,798.94,5.0,3994.7,1997.35,7.0,285.3357142857143,14.0,593.55,463.90714285714284,0.1891891891891892,0.15548843382779384,2.8,1.0,2.5,0.2,0.2503316894885724,99.39665737340883,1292.1565458543148,270.0755194237654,270.0755194237654,258.43130917086296,233.7,1.5,12.0,4.4,22.0,5.507297168748592,4.0,23.0,27.0,0.8518518518518519,5.757628858237164,6.758955616191455
13,2.0,31022.9,633.1204081632653,49.0,2388.0,2388.0,1194.0,2.0,2388.0,2388.0,5.0,477.6,5.0,1779.1999999999998,1415.36,0.10204081632653061,0.07697539559486702,2.5,0.0,2.0,0.0,0.0,81.62999877929687,408.1499938964844,,,204.0749969482422,,1.0,5.0,5.0,10.0,4.187604690117253,,12.0,12.0,1.0,5.025125628140704,5.025125628140704
15,4.0,54144.9,496.7422018348624,109.0,4523.4,4349.166666666667,1449.7222222222222,9.0,13047.5,4349.166666666667,9.666666666666666,449.91379310344826,29.0,1578.55,744.9810344827587,0.26605504587155965,0.24097375745453403,3.2222222222222223,2.0,3.0,0.2222222222222222,0.15328607012837708,76.61369254525417,2068.5696987218626,205.59716185388302,411.19432370776605,229.84107763576256,609.35,1.0,28.0,4.777777777777778,43.0,3.2956505077601075,4.5,52.0,52.0,1.0,3.985437823337804,3.985437823337804
16,3.0,64797.6,654.5212121212121,99.0,3634.7999999999997,2969.35,989.7833333333333,6.0,5938.7,2969.35,7.0,424.1928571428571,14.0,1328.55,821.5178571428571,0.1414141414141414,0.09164999938269318,2.3333333333333335,0.0,3.0,0.0,0.0,63.10327508737906,883.4458512233068,,,147.24097520388446,,1.1666666666666667,12.0,3.8333333333333335,23.0,3.872901476754172,,25.0,29.0,0.8620689655172413,4.209675518211056,4.883223601124826
17,4.0,54830.5,403.1654411764706,136.0,7976.299999999999,4506.066666666667,2253.0333333333333,6.0,13518.2,4506.066666666667,8.666666666666666,519.9307692307692,26.0,1509.0,712.8442307692308,0.19117647058823528,0.24654526221719664,4.333333333333333,4.0,2.0,0.6666666666666666,0.2958973827876492,132.2136405859509,2908.70009289092,288.75261519765337,1155.0104607906135,484.7833488151534,334.2,1.2222222222222223,17.0,5.0,30.0,2.2192303709073693,3.0,29.0,36.0,0.8055555555555556,2.1452560252104567,2.663076445088843
19,4.0,28880.5,497.9396551724138,58.0,3288.8,2298.2000000000003,1723.65,4.0,6894.6,2298.2000000000003,3.6666666666666665,626.7818181818183,11.0,776.75,644.290909090909,0.1896551724137931,0.23872855386852723,2.75,0.0,1.3333333333333333,0.0,0.0,112.51066653713293,1237.6173319084623,,,309.4043329771156,,1.0,11.0,5.25,21.0,3.04586197894004,,25.0,25.0,1.0,3.6260261654048094,3.6260261654048094
21,1.0,22398.9,315.4774647887324,71.0,4157.5,4157.5,831.5,5.0,4157.5,4157.5,10.0,415.75,10.0,2361.55,1548.045,0.14084507042253522,0.1856117934362848,2.0,0.0,5.0,0.0,0.0,69.91902939842582,699.1902939842582,,,139.83805879685164,,1.0,10.0,3.2,16.0,3.848466626578473,,21.0,21.0,1.0,5.051112447384245,5.051112447384245
26,6.0,83719.8,328.3129411764706,255.0,10719.9,3219.4199999999996,946.8882352941176,17.0,16097.1,3219.4199999999996,11.4,282.40526315789475,57.0,1951.25,1129.8587719298246,0.2235294117647059,0.19227351235908352,3.3529411764705883,4.0,3.4,0.23529411764705882,0.24849196439110147,105.3058967786638,5581.212529269181,194.5708465576172,778.2833862304688,328.30661936877533,356.26666666666665,1.0909090909090908,49.0,5.352941176470588,91.0,5.653192189897559,2.75,98.0,108.0,0.9074074074074074,6.088053127581987,6.70928303855974
27,1.0,8747.0,364.4583333333333,24.0,1750.2,1750.2,875.1,2.0,1750.2,1750.2,5.0,350.04,5.0,693.7,663.2700000000001,0.20833333333333334,0.20009145992911856,2.5,0.0,2.0,0.0,0.0,104.74360771224697,523.7180385612348,,,261.8590192806174,,1.0,5.0,5.5,11.0,6.284996000457091,,13.0,13.0,1.0,7.427722545994744,7.427722545994744
28,2.0,6810.6,486.4714285714286,14.0,1986.6,1986.6,1986.6,1.0,1986.6,1986.6,3.0,662.1999999999999,3.0,912.3,904.9666666666667,0.21428571428571427,0.29169236190643993,3.0,0.0,1.0,0.0,0.0,76.66666666666667,230.0,,,230.0,,1.0,3.0,6.0,6.0,3.0202355783751136,,7.0,7.0,1.0,3.5236081747709656,3.5236081747709656
29,3.0,46035.4,326.4921985815603,141.0,8565.800000000001,6235.950000000001,1133.8090909090909,11.0,12471.9,6235.950000000001,20.5,304.19268292682926,41.0,1861.05,870.9146341463414,0.2907801418439716,0.27091977043753285,3.727272727272727,3.0,5.5,0.2727272727272727,0.2405407355735694,106.72207029924667,4055.4386713713734,137.62651963376314,412.87955890128944,368.676242851943,400.65,1.2666666666666666,30.0,4.818181818181818,53.0,4.249552995133059,4.0,46.0,64.0,0.71875,3.6882912787947304,5.131535692236147
32,2.0,21930.3,413.77924528301884,53.0,3870.3,3870.3,1290.1,3.0,3870.3,3870.3,8.0,483.7875,8.0,1784.15,1392.1000000000001,0.1509433962264151,0.17648185387340803,2.6666666666666665,0.0,3.0,0.0,0.0,77.3730430751818,618.9843446014544,,,206.32811486715147,,1.0,8.0,5.0,15.0,3.875668552825362,,18.0,18.0,1.0,4.6508022633904345,4.6508022633904345
33,7.0,60516.5,435.3705035971223,139.0,4146.3,2496.8,1248.4,8.0,9987.2,2496.8,6.25,399.48800000000006,25.0,1958.9,884.686,0.17985611510791366,0.16503267703849364,3.125,4.0,2.0,0.5,0.40051265619993587,75.51008388130151,1585.7117615073316,144.2501722597588,577.0006890390353,198.21397018841645,283.6333333333333,1.0,23.0,4.0,32.0,3.204101249599487,2.25,40.0,40.0,1.0,4.005126561999359,4.005126561999359
34,3.0,72683.4,437.8518072289156,166.0,8579.5,5867.15,1955.7166666666665,6.0,11734.3,5867.15,11.0,533.3772727272727,22.0,1885.5,966.2545454545453,0.13253012048192772,0.16144401610271397,3.6666666666666665,1.0,3.0,0.16666666666666666,0.08522025174062364,98.94082699001012,2077.7573667902125,369.8884902280407,369.8884902280407,346.29289446503543,817.8,1.3,18.0,4.5,27.0,2.3009467969968385,6.0,31.0,33.0,0.9393939393939394,2.641827803959333,2.8122683074405805
35,2.0,44368.6,414.65981308411216,107.0,7578.4,7152.6,1430.52,10.0,14305.2,7152.6,16.0,447.0375,32.0,1923.2,1114.565625,0.29906542056074764,0.3224172049602647,3.2,3.0,5.0,0.3,0.20971395017196542,100.34357324840771,2909.9636242038237,205.89431537945418,617.6829461383626,290.99636242038235,484.09999999999997,1.0,30.0,5.2,52.0,3.635041802980734,4.0,62.0,62.0,1.0,4.334088303553952,4.334088303553952
37,6.0,59255.5,474.044,125.0,4039.8,2687.56,1221.6181818181817,11.0,13437.800000000001,2687.56,6.0,447.9266666666667,30.0,1471.3000000000002,636.11,0.24,0.2267772611825063,2.727272727272727,3.0,2.2,0.2727272727272727,0.22325082974891722,85.57534637156283,2310.5343520321962,179.50634987548676,538.5190496264603,210.0485774574724,428.4333333333334,1.0666666666666667,27.0,3.8181818181818183,42.0,3.125511616484841,2.6666666666666665,49.0,53.0,0.9245283018867925,3.6464302192323146,3.944097992230871
38,3.0,26723.5,404.9015151515151,66.0,3735.7,3735.7,1245.2333333333333,3.0,3735.7,3735.7,8.0,466.9625,8.0,773.0,669.475,0.12121212121212122,0.13979082081314198,2.6666666666666665,0.0,3.0,0.0,0.0,70.37156943423798,562.9725554739039,,,187.6575184913013,,1.3333333333333333,6.0,4.0,12.0,3.212249377626683,,11.0,15.0,0.7333333333333333,2.9445619294911265,4.015311722033354
40,2.0,32689.5,340.515625,96.0,3572.2,3525.2,881.3,8.0,7050.4,3525.2,11.5,306.5391304347826,23.0,1806.15,940.5326086956521,0.23958333333333334,0.21567781703605132,2.875,1.0,4.0,0.125,0.14183592420288213,98.6801836399348,2170.9640400785656,69.81234385862814,69.81234385862814,271.3705050098207,184.3,1.1818181818181819,21.0,4.375,35.0,4.964257347100874,5.0,37.0,43.0,0.8604651162790697,5.247929195506638,6.0989447407239314
41,2.0,29430.4,367.88,80.0,4140.4,2220.45,1110.225,4.0,4440.9,2220.45,5.5,403.7181818181818,11.0,1075.15,987.2181818181817,0.1375,0.15089499293247796,2.75,0.0,2.0,0.0,0.0,106.12527495278799,1167.3780244806678,,,291.84450612016695,,2.0,6.0,3.75,15.0,3.377693710734311,,13.0,19.0,0.6842105263157895,2.9273345493030694,4.278412033596793
